Taxa,ala,arg,asp,gln,glu,Gly,his,ile,leu,lys,met,phe,pro,ser,thr,trp,try,val,Total,ShikFam,AspFam,AspFam_Asp,SerFam,GluFam,GluFam_glu,BCAA,PyrFam
7330,1.381147,1.119761784,1.163533009,2.549736945,1.087493871,0.708966806,4.184719511,1.455036429,1.692535033,2.70697394,0.795480982,1.050083376,-1.316486256,-0.214041812,0.767890968,0.899323822,0.729811221,1.298718128,0.259970145,0.965634452,1.228087802,1.228087802,0.315599695,0.566046954,0.849878692,1.122078729,0.896132649
7331,1.408071986,1.118351253,1.162050976,2.880655239,1.083641065,0.632133284,5.261662361,1.455636467,1.713547107,3.194740063,0.787804555,1.050278273,-1.709897837,-0.572597822,0.756195086,0.881645786,0.702869955,1.359731584,0.27324155,0.971422755,1.219767961,1.219767961,0.029565527,0.583389561,0.956395204,1.166385232,0.927463698
7333,1.371723306,1.165935751,1.173510772,2.553245037,1.084052319,0.644413141,5.112956214,1.540052878,1.848506443,2.956036868,0.763082813,1.048428979,-1.355813403,-0.360638057,0.751988359,0.898422551,0.713960278,1.339276517,0.269197941,0.967093411,1.222359755,1.222359755,0.146058382,0.580097655,0.929109913,1.205261067,0.927560163
7337,1.643434292,1.154384793,1.127462594,3.227714441,1.077718542,0.589001203,6.368248971,1.461915477,1.829423832,3.5183922,0.767117633,1.059754212,-1.869740631,-0.539994741,0.752451927,0.850240692,0.690953316,1.424349987,0.290370512,0.973706258,1.187013481,1.187013481,-0.036154854,0.604950728,1.103220258,1.234139025,1.054167354
7340,1.340274159,1.153219875,1.112429422,2.869862694,1.079088096,0.61010966,5.089898668,1.531589645,1.822046176,3.25951137,0.783429745,1.046236526,-1.458481836,-0.502864242,0.754774181,0.879645584,0.724007474,1.403355116,0.285617529,0.969966156,1.18256811,1.18256811,0.010353275,0.595062439,0.968675838,1.245452945,0.935918927
7343,1.500841977,1.116084273,1.175891442,2.702899281,1.083062305,0.652325708,4.379325575,1.382824896,1.670534487,2.907857701,0.785974341,1.046985753,-1.684915324,-0.342838838,0.765302719,0.88225973,0.700158457,1.314308369,0.268563822,0.972040592,1.234124755,1.234124755,0.16214894,0.582309064,0.916832477,1.10110626,0.930826896
7346,1.509732231,1.121688831,1.115055144,3.161992158,1.084521442,0.57455399,4.85630866,NaN,NaN,3.079723766,0.821719883,1.024833629,-1.467225276,-0.069506785,0.775377702,0.91195453,0.733669328,NaN,0.258564037,0.953928974,1.221163948,1.221163948,0.238362108,0.579167677,0.936942667,NaN,0.731244276
7351,1.263451929,1.136800807,1.188009516,2.359319927,1.083862186,0.651948844,4.716237611,1.482601655,1.72794203,2.741738246,0.772304907,1.056767121,-1.222482319,-0.325912855,0.773105781,0.932637444,0.708706769,1.292876333,0.259525681,0.960258883,1.244411136,1.244411136,0.152416568,0.578222575,0.870307383,1.136631057,0.860487966
7353,1.536429136,1.095713576,1.146643557,2.92593345,1.082332232,0.552233453,5.187226461,1.612349393,1.852494835,2.895972811,0.762297648,1.048904515,-1.577280818,-0.37392014,0.763468253,0.915996977,0.711934393,1.448048129,0.273538323,0.963460526,1.20850281,1.20850281,0.015905768,0.583085378,0.899319969,1.307809964,1.035471671
7355,1.331699648,1.119961107,1.195631553,2.192792697,1.084748013,0.673253197,4.513095713,1.367668506,1.572229073,2.557518046,0.77610327,1.051386127,-1.197182114,-0.336753152,0.777852631,0.892005019,0.734126489,1.257906753,0.253836687,0.967695586,1.259902934,1.259902934,0.192974879,0.561717231,0.736221862,1.042926579,0.839714434
7372,1.604389434,1.165095138,1.146536667,2.832451,1.076510597,0.577355083,5.51294778,1.601799458,1.837247032,3.363981848,0.784059481,1.065979629,-1.613000591,-0.558214783,0.763318135,0.861896797,0.701925657,1.449440343,0.282364103,0.981005121,1.204982423,1.204982423,-0.061826026,0.605516931,1.028996903,1.300502903,1.044388099
7373,1.329021456,1.135959257,1.182212295,2.96103812,1.075789162,0.557683914,5.239457736,1.493540847,1.784634349,3.174265904,0.797448743,1.06389415,-1.792643902,-0.341311511,0.768426303,0.932485065,0.683244201,1.417247716,0.273914311,0.963830685,1.237825188,1.237825188,0.045726302,0.606059199,1.015386755,1.232501505,0.930964829
7378,1.232089546,1.159645137,1.126895804,2.785611441,1.069415173,0.659096036,4.879950591,1.444119576,1.731455304,3.247811318,0.777476081,1.064272129,-1.579933326,-0.468061318,0.775814419,0.939755787,0.695838734,1.389099218,0.280220684,0.959999448,1.205659603,1.205659603,0.103614963,0.623804783,0.99248122,1.184814274,0.872784546
7379,1.422617894,1.124402389,1.104811494,3.173279273,1.078352548,0.609014872,5.547662021,1.406051441,1.681185803,3.079867058,0.79373124,1.055155911,-1.483862207,-0.447935012,0.751310599,0.87895613,0.711269613,1.336726627,0.284749658,0.976056412,1.182546618,1.182546618,0.050426202,0.597640077,0.952719221,1.130381779,0.92359142
7382,1.304397372,1.075670269,1.166806192,2.735654372,1.086800712,0.593568403,4.278237887,1.447801956,1.760718038,2.87028977,0.791069504,1.03734371,-1.46019003,-0.266667318,0.776458698,0.897063652,0.738088248,1.352232991,0.260739093,0.96251371,1.234884186,1.234884186,0.124857574,0.565943855,0.831264055,1.172216159,0.901230573
7384,1.490194317,1.18008122,1.142485078,2.840812626,1.072878401,0.539036563,5.921620907,1.568812505,1.899784771,3.478408324,0.748520193,1.059031503,-1.766833038,-0.469202137,0.747308202,0.844305365,0.684643736,1.503141015,0.294287066,0.987881347,1.20473303,1.20473303,-0.069577782,0.616111119,1.044842755,1.341232975,1.044671795
7390,1.519130063,1.156246441,1.157299552,2.949075863,1.082101453,0.62828636,5.305695912,1.515130511,1.887693628,3.114792745,0.753556166,1.056955359,-1.377815893,-0.445723343,0.761652055,0.901176067,0.686671421,1.354640725,0.275359682,0.971099092,1.216517913,1.216517913,0.069764728,0.587543593,0.972761979,1.218571643,0.989621004
7391,1.505845824,1.126904799,1.177837986,2.876253353,1.075732707,0.572904604,5.137472578,1.424716577,1.701375387,3.131662477,0.78052547,1.042820743,-1.656498044,-0.428759704,0.762791447,0.887651369,0.703250745,1.35870962,0.276445727,0.968406886,1.230888817,1.230888817,-0.005625563,0.604053241,0.958964929,1.153951961,0.965354818
7392,1.416810668,1.11475117,1.12094378,3.308529648,1.073289492,0.497630634,5.689537363,1.60253133,1.979892887,3.033586592,0.772518189,1.050502585,-1.573462313,-0.551242089,0.74251161,0.86460662,0.675653723,1.502195219,0.296820649,0.978742906,1.180543766,1.180543766,-0.184542764,0.610142951,0.952147626,1.373542423,1.022225716
7394,1.127278847,1.011344131,1.132989956,2.167998168,1.095498288,0.719031911,3.548499954,1.3046863,1.519575412,2.276191403,0.794417379,1.026597091,-1.168832087,-0.179970248,0.765363289,0.924872054,0.741514937,1.162204317,0.240517852,0.946836238,1.218667571,1.218667571,0.343002795,0.532737945,0.681261818,0.953014345,0.738673689
7397,1.222878229,1.149397329,1.097395447,3.032043141,1.069364478,0.631290512,5.35472122,1.462580899,1.739674865,3.241275687,0.769796031,1.049856249,-1.501996234,-0.244468508,0.789622885,0.873172522,0.724164224,1.360468059,0.287416063,0.972224707,1.193190715,1.193190715,0.183305795,0.623986408,0.991076848,1.175629454,0.864217219
7405,1.537993445,1.142553551,1.126699295,2.743892176,1.074630758,0.664675565,5.242288514,1.505176855,1.785988143,3.139942833,0.787236498,1.050270541,-1.455410092,-0.373357844,0.758518951,0.87683968,0.714200048,1.416294367,0.285880058,0.973812056,1.19297999,1.19297999,0.164797523,0.606014263,0.947978987,1.23742978,1.008621276
7408,1.155958839,1.060897422,1.163748936,2.668648926,1.083522814,0.676103838,3.72809107,1.411794813,1.687417667,2.905848051,0.828450922,1.053981232,-1.450398831,-0.031495107,0.750432846,0.922291377,0.71855684,1.325496261,0.259364471,0.961721482,1.222710841,1.222710841,0.366596799,0.572178492,0.788893623,1.125195011,0.820509805
7411,1.434413317,1.144142191,1.140659587,2.870207651,1.077541648,0.509416853,5.611316873,1.493118528,1.754512248,3.460393724,0.790681305,1.051679184,-1.594676541,-0.418086373,0.746162515,0.913366615,0.715911799,1.411768649,0.281452353,0.96251478,1.197342972,1.197342972,-0.077879987,0.599948428,0.971753296,1.221776584,0.968479868
7418,1.209920834,1.109018155,1.116421227,2.622138114,1.075882066,0.647143929,4.410658383,1.462504169,1.729612076,3.015351303,0.776764832,1.049226847,-1.557564279,-0.300924513,0.748482612,0.870499896,0.709338786,1.297634117,0.280917093,0.974537098,1.18632659,1.18632659,0.178214136,0.59809003,0.882016787,1.132596659,0.832898997
7424,1.253642731,1.06515428,1.131596704,2.753160199,1.087821653,0.710531069,4.374139574,1.400829291,1.681929206,3.007202733,0.787716636,1.040293536,-1.31276098,-0.387030889,0.760179775,0.919758337,0.728025441,1.300797218,0.26097044,0.959027749,1.202356733,1.202356733,0.222692961,0.562570558,0.795738576,1.100644742,0.845615359
7430,1.258879586,1.097456323,1.175975717,2.815180634,1.088357117,0.782692064,4.723264186,1.378157633,1.694868887,2.87707597,0.792805313,1.030611981,-1.338267229,-0.148419299,0.770063245,0.895530558,0.741127925,1.241084847,0.25430732,0.959583093,1.236675571,1.236675571,0.420739337,0.565405532,0.859090808,1.062284467,0.830580229
7438,1.591215941,1.146946136,1.115906939,3.202211478,1.076662753,0.613557698,4.441873073,1.47549076,1.731823234,3.007753449,0.77397969,1.049883835,-1.671370705,-0.564066424,0.751408462,0.888938884,0.722713755,1.41158378,0.288903676,0.967719569,1.181994954,1.181994954,-0.011572945,0.603088416,0.995401373,1.210706223,1.015695028
7446,1.291486352,1.105378317,1.145916359,2.149980796,1.07961383,0.61898371,4.105610701,1.372985647,1.559757971,2.648869416,0.789357943,1.054300001,-1.413881541,-0.459432978,0.763715284,0.913832353,0.727791878,1.301252497,0.266099249,0.964188397,1.218092529,1.218092529,0.054816993,0.573662429,0.740337218,1.064132477,0.844771589
7449,1.450353421,1.138717466,1.135128371,3.327304129,1.070399439,0.617472281,4.884293257,1.459243494,1.732947457,3.094159767,0.784121087,1.05371007,-1.688586365,-0.465097462,0.770476503,0.942518728,0.720734665,1.43889212,0.282980605,0.956010162,1.204728133,1.204728133,0.052635357,0.62050301,1.023857869,1.218785879,0.98022876
7460,1.191205937,1.083501842,1.126397187,2.651929584,1.091424712,0.699048402,4.201363956,1.424638922,1.643623558,2.83811866,0.796187844,1.02889546,-1.438481013,-0.297141406,0.750453797,0.920042982,0.743513163,1.281214806,0.259404783,0.954546096,1.192105822,1.192105822,0.253118863,0.556772484,0.837126662,1.09301165,0.816408668
7472,1.377848571,1.137162386,1.114061123,2.811673703,1.082981572,0.647837844,4.816824944,1.498129705,1.810742977,3.041987535,0.769411688,1.03390282,-1.538114677,-0.417019501,0.75439324,0.895233952,0.723040237,1.370603761,0.277098345,0.961606286,1.181349572,1.181349572,0.116818679,0.584243594,0.951685925,1.209473857,0.937874946
7477,1.235510465,1.114952028,1.127724004,2.669241894,1.081492741,0.583392797,5.241389894,1.499260739,1.812520917,2.966248452,0.777656867,1.041765159,-1.407079373,-0.273412027,0.766546272,0.89712103,0.706446042,1.362272409,0.274382373,0.965901814,1.198783557,1.198783557,0.11135216,0.585979973,0.900255163,1.207113783,0.874451344
