Taxa,ile_BCAA,leu_BCAA,val_BCAA,gln_GluFamCorr,glu_GluFamCorr,his_GluFam,ile_GluFamCorr,leu_GluFamCorr,pro_GluFamCorr,val_GluFamCorr,ala_t,arg_t,asp_t,gln_t,glu_t,Gly_t,his_t,ile_t,leu_t,lys_t,met_t,phe_t,pro_t,ser_t,trp_t,try_t,val_t
6973,0.273236619,0.567028065,0.555037126,9.290357603,0.606082419,100.6383441,0.397504257,1.195849898,0.40326827,0.658815286,0.209523087,1.354728374,11.16308767,0.760201567,39.39330625,2.491808022,1.102205185,1.011774955,0.95784649,0.716815599,0.922675423,1.381273891,1.147491056,1.804774652,1.646445622,1.159618346,1.156136995
6976,0.267686561,0.543612369,0.588692975,10.15471574,0.65393293,120.6111551,0.379457867,1.212217873,0.400124586,0.650553894,0.202947138,1.325060126,10.62632558,0.821726739,43.75023123,2.163546509,1.21509222,0.987307793,1.010028927,0.708292074,0.92043968,1.534078431,1.154613832,1.684990501,1.653674571,1.070420987,1.151567797
6977,0.27106959,0.566008511,0.558341606,9.694703395,0.677056043,97.64085359,0.389511293,1.200050707,0.344724058,0.652759892,0.180229609,1.325006309,9.604760638,0.759082572,47.22884423,2.313808256,0.982428407,1.020369926,0.948627949,0.735596231,0.957427092,1.49547772,1.063799602,1.862516391,1.544196973,1.150212788,1.166040549
6979,0.282380315,0.543470255,0.574924497,10.63360482,0.639744355,125.6129665,0.394569842,1.208041017,0.371817737,0.655522463,0.196096238,1.379717608,9.651283858,0.836880646,46.15572289,2.4810537,1.169704912,1.032766177,0.977621601,0.774385095,0.936408904,1.633554276,1.115336896,1.710741894,1.601405267,1.172571715,1.172937692
6980,0.266316812,0.561960817,0.567223749,8.379045636,0.56446438,103.8296429,0.38304499,1.20304715,0.399670026,0.651118639,0.24499315,1.369228582,11.03003872,0.662789234,39.12974941,2.366645642,1.094972698,0.991931373,0.976709177,0.710981354,0.912129598,1.439971764,1.146344354,1.71072518,1.656316657,1.158573801,1.149962221
6982,0.27484416,0.541222104,0.584246494,9.086815605,0.646264834,93.16764367,0.405153989,1.200998089,0.342245326,0.670802805,0.180124304,1.349985677,10.90787719,0.729115455,42.15414233,2.292083426,1.011532143,1.033995199,0.971634011,0.707321842,0.904586351,1.544776083,1.044423068,1.846016221,1.648934618,1.1706507,1.183453783
6983,0.250061362,0.559574957,0.584938513,9.952659682,0.67391665,120.4192027,0.373170468,1.205146975,0.360689706,0.652645593,0.269761003,1.301985865,13.61616778,0.858350105,39.51309024,1.882939611,1.362824406,0.948000336,1.011595693,0.732472996,0.908680221,1.36266817,1.063371734,1.67355276,1.669073169,1.108850227,1.13239191
6985,0.270430472,0.56547,0.557134953,9.258583594,0.63604589,113.3911742,0.416404191,1.186244073,0.386839879,0.677816262,0.181044558,1.34051237,8.266678329,0.755814129,40.75581071,2.560458518,1.212971431,1.050696621,0.922020408,0.757465272,0.910026268,1.611314839,1.122057106,1.713972098,1.72460943,1.191039565,1.191090158
6988,0.305787692,0.562605049,0.530766131,8.586194226,0.57634067,81.84870525,0.439083538,1.184916602,0.372171429,0.675930504,0.232372469,1.356976965,12.25925121,0.727240882,34.51479862,2.24056041,1.021646085,1.065872947,0.941493008,0.744996904,0.957391339,1.444786627,1.076279122,1.846588836,1.660658026,1.098220245,1.164962195
6989,0.271009814,0.582456549,0.536141667,9.785436673,0.656065421,116.0696866,0.399633494,1.189434498,0.356935339,0.65752613,0.200325633,1.346724969,12.02606448,0.798532531,42.36646777,2.255178183,1.211860327,1.02039532,0.928541133,0.719402555,0.92716108,1.474852943,1.072026585,1.744939791,1.648820262,1.122151935,1.157901945
6990,0.252026023,0.568114557,0.572336468,8.522234967,0.559890745,100.2685047,0.368259571,1.205906444,0.425053526,0.644321955,0.191964445,1.334498043,11.17581223,0.666763971,39.72766796,2.420562268,1.053362412,0.965534405,0.98264355,0.700842452,0.873372138,1.543023212,1.192405918,1.891387785,1.578235462,1.126779053,1.141463978
