"Taxa","ala","arg","asp","gln","glu","Gly","his","ile","leu","lys","met","phe","pro","ser","thr","trp","try","val","Total","ShikFam","AspFam","AspFam_Asp","SerFam","GluFam","GluFam_glu","BCAA","PyrFam","ile_BCAA","leu_BCAA","val_BCAA","gln_GluFamCorr","glu_GluFamCorr","his_GluFam","ile_GluFamCorr","leu_GluFamCorr","pro_GluFamCorr","val_GluFamCorr","ala_t","arg_t","asp_t","gln_t","glu_t","Gly_t","his_t","ile_t","leu_t","lys_t","met_t","phe_t","pro_t","ser_t","trp_t","try_t","val_t"
"A6190",1.465845525,1.096241644,1.165204648,2.876253353,1.081576774,0.600140873,4.873473682,1.487209026,1.79329645,2.827977305,0.78052547,1.046909712,-1.626728537,-0.325773966,0.781918935,0.896794672,0.708581037,1.379884373,0.265238867,0.967380612,1.248352091,1.248352091,0.100429773,0.583589515,0.891132636,1.210098048,0.974131722,0.2788355,0.556009481,0.564306229,9.883375612,0.633943139,108.0031071,0.387972251,1.205872177,0.358412336,0.649740549,0.233684672,1.354340123,10.59606728,0.828267579,40.12925729,2.207027255,1.181313975,0.990004019,1.001921268,0.724635332,0.919412183,1.501191814,1.070593926,1.765844484,1.64018487,1.113168909,1.136457632
"A6194",1.434395521,1.152295088,1.169378112,2.557920607,1.072361671,0.611210228,5.068710266,1.514791245,1.749680174,3.353586114,0.763971947,1.063409471,-1.403906108,-0.449861734,0.778957145,0.854957696,0.695279179,1.443816537,0.278154352,0.983956998,1.234517466,1.234517466,0.043034896,0.600859838,0.880395794,1.24523055,0.979526332,0.280396375,0.582727407,0.525541155,8.53073854,0.57500106,104.8103445,0.392829668,1.194225735,0.398195378,0.645764967,0.209901248,1.307925378,12.0821135,0.699854108,37.20762105,2.342251096,1.159068758,1.000101505,0.954401475,0.790023609,0.90860739,1.370940451,1.13890317,1.748089226,1.595444655,1.111597771,1.130247641
"A6243",1.139292304,1.088162071,1.140959299,2.788382603,1.091184034,0.687953235,4.356815909,1.395801115,1.655421899,2.838495644,0.780608666,1.036604073,-1.394027413,-0.157482134,0.770766439,0.886082311,0.728568744,1.268304483,0.257258818,0.965922894,1.214355484,1.214355484,0.309529473,0.55819041,0.851404907,1.078333097,0.793896688,0.281900644,0.554917663,0.562555758,10.4274493,0.662621789,106.6343822,0.403532149,1.198814307,0.370883651,0.661946354,0.172993434,1.347355522,9.010495956,0.834614902,45.55118606,2.495229781,1.076168444,1.044771331,0.948953014,0.754789587,0.911481316,1.602642489,1.10964039,1.833301015,1.613669295,1.147390194,1.178836581
"A6318",1.168220173,1.11158291,1.152333005,2.724912378,1.080388992,0.655168347,4.682315341,1.412569628,1.713896287,3.074207125,0.737451822,1.042090935,-1.568553014,-0.520797763,0.768199767,0.882998088,0.71863942,1.330942917,0.272352672,0.96785948,1.216601594,1.216601594,0.072792322,0.588614402,0.90306696,1.134135214,0.828178416,0.301432757,0.554593589,0.544760822,9.303406088,0.640787955,97.89853719,0.420760781,1.194581443,0.370367822,0.665889069,0.164665028,1.343512117,10.52951932,0.754942225,41.39431333,2.477584825,1.061751272,1.061953327,0.949392023,0.753823882,0.852261502,1.614088204,1.093994047,1.678863472,1.625882337,1.157305397,1.171803495
"A641",1.562210852,1.191338006,1.167122208,2.879120327,1.074723792,0.682715043,4.919436058,1.517039787,1.789929437,3.075617351,0.782396141,1.049426296,-1.686338154,-0.358162253,0.748756311,0.948925518,0.711897272,1.376077436,0.274683946,0.954612535,1.220321968,1.220321968,0.193444804,0.612686979,1.076862142,1.213908104,0.999316732,0.259654322,0.559502914,0.575646895,9.263677251,0.674965665,91.77065942,0.398106356,1.194510799,0.368073288,0.669472895,0.243749895,1.262847484,11.58843128,0.801045258,37.88216091,2.649068249,1.117332068,0.989110146,0.978885175,0.74840519,0.9376939,1.530399122,1.069497735,1.789502547,1.655806166,1.144944496,1.155221019
"A6413",1.3669176,1.122846861,1.223245207,2.286447587,1.08434631,0.677017749,3.664406938,1.394453254,1.581596169,2.595220749,0.769549934,1.044785649,-1.087684737,-0.257818862,0.777791345,0.891580114,0.724510262,1.281093667,0.250694076,0.965482712,1.276516579,1.276516579,0.249110021,0.564503174,0.78725818,1.06567414,0.872215044,0.273634015,0.580244903,0.532486678,8.292714321,0.577013032,78.69058823,0.405889106,1.186513636,0.43194611,0.661589304,0.23490371,1.299187062,12.19574356,0.667863039,37.48397612,2.411533667,0.898410221,1.022929683,0.926965615,0.7092684,0.873943356,1.421840553,1.183123056,1.732367568,1.625135895,1.114589313,1.156309755
"A6448",1.254520397,1.09266629,1.148744679,2.698314997,1.08592949,0.67808369,4.526525963,1.394566478,1.588857381,2.908968519,0.834123727,1.043234777,-1.542270252,0.026997153,0.759406641,0.933128764,0.740273072,1.288450378,0.258755994,0.954187514,1.214816681,1.214816681,0.410181638,0.571938584,0.867244712,1.07335845,0.832817617,0.280537492,0.580267543,0.531079003,9.665185814,0.649061555,104.0517114,0.414133808,1.184774839,0.362790876,0.666016597,0.197293829,1.344002824,9.443365485,0.794306796,41.50123101,2.482686114,1.125479172,1.047553112,0.913183528,0.76325241,1.012274814,1.520325944,1.079181051,1.969008928,1.674165431,1.182895186,1.171065557
"A6449",1.258498294,1.090907885,1.177888885,2.880698481,1.089987618,0.729147068,4.265534919,1.379177348,1.66683094,2.972241226,0.782543602,1.045656004,-1.536490974,-0.191235785,0.753369295,0.88596632,0.716901296,1.256512026,0.257152734,0.968187559,1.229775404,1.229775404,0.342074621,0.562405511,0.866983111,1.065981746,0.833561666,0.28940525,0.546178685,0.565501332,10.64587142,0.666836268,100.673959,0.41305555,1.198710286,0.356759285,0.668008926,0.201424355,1.342969592,10.74621713,0.872173648,44.41931536,2.677589569,1.047653903,1.057084905,0.955296651,0.783087911,0.91476554,1.477264084,1.077172793,1.814772851,1.610652746,1.118640641,1.184120059
"A66",1.290342514,1.091359307,1.193448137,2.252744229,1.086294489,0.674318626,4.599928758,1.387625098,1.664254398,2.45696918,0.794025316,1.035288185,-1.286363026,-0.200736286,0.750581854,0.927734035,0.731993333,1.263232359,0.2536423,0.956774055,1.245915377,1.245915377,0.268454249,0.564939148,0.791099645,1.073796115,0.846195974,0.286382086,0.549443265,0.56521478,8.216989853,0.611412461,112.2559909,0.41157873,1.197465156,0.391872546,0.668020176,0.213684188,1.339609181,11.17919797,0.654680877,39.97794533,2.402616696,1.197384281,1.04268753,0.961324804,0.716913771,0.930805122,1.597635833,1.131065653,1.785919892,1.657194781,1.139818719,1.174873291
"A6709",1.484898898,1.105345685,1.090624748,2.976866336,1.07836773,0.622829299,5.376664889,1.564195675,1.842089383,3.296063523,0.768919742,1.05492625,-1.800917935,-0.442695818,0.744166577,0.904687407,0.706062982,1.424809698,0.288673628,0.968569755,1.162451198,1.162451198,0.065034029,0.596152594,0.942910875,1.275428802,1.002559162,0.254576778,0.562866833,0.576459413,9.912015036,0.647561064,115.4856632,0.372688121,1.2062265,0.347504648,0.647486693,0.207120731,1.378780945,8.756103222,0.783233137,45.28053253,2.47373893,1.136183155,0.982252452,0.976906113,0.750627933,0.929541218,1.530433719,1.065778287,1.798675511,1.673142751,1.165730222,1.153760921
